epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.43,2.33107,11.8679,0.70979,4.61724,2.90824,0.01987,0.17647,0.01635,0.0097,0,0,0,0,2.45949,11.848,0.693,4.50168,3.00469,0.00014,0.00014,0.00014
2,361.475,0.95121,11.7145,0.68978,1.22273,1.67682,0.5,1,0.55441,0.45557,0,0,0,0,0.82864,11.8384,0.6933,10.6368,2.00117,0.000299576,0.000299576,0.000299576
3,520.308,0.49631,11.4842,0.61133,0.42335,1.23683,0.03459,0.64706,0.03117,0.01242,0,0,0,0,nan,nan,nan,nan,nan,0.000458699,0.000458699,0.000458699
4,677.156,0.39351,10.9462,0.54389,0.3958,1.18017,0.05479,0.94118,0.05648,0.02555,0,0,0,0,nan,nan,nan,nan,nan,0.000617369,0.000617369,0.000617369
5,836.708,0.43391,10.7822,0.51397,0.39542,1.19325,0.14074,0.55882,0.13315,0.0392,0,0,0,0,nan,nan,nan,nan,nan,0.000775587,0.000775587,0.000775587
6,971.411,0.50117,10.1808,0.44123,0.46018,1.23458,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000933353,0.000933353,0.000933353
7,1123.27,0.48283,9.69206,0.39537,0.44681,1.24936,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00109067,0.00109067,0.00109067
8,1275.79,0.53692,9.70533,0.36988,0.46323,1.29763,0.05542,0.64706,0.05487,0.02283,0,0,0,0,nan,11.9997,37.929,nan,nan,0.00124753,0.00124753,0.00124753
9,1425.94,0.44489,9.39615,0.35771,0.42421,1.20711,0.07485,0.73529,0.06831,0.02182,0,0,0,0,nan,nan,nan,nan,nan,0.00140393,0.00140393,0.00140393
10,1585.16,0.46697,9.28996,0.39856,0.39572,1.22374,0.16659,0.35294,0.12879,0.04336,0,0,0,0,2.70397,11.5097,0.67172,4.0751,5.30512,0.00155989,0.00155989,0.00155989
11,1737.81,0.47657,9.46804,0.36071,0.40642,1.19822,0.66049,0.73529,0.61419,0.11356,0,0,0,0,4.14735,11.8735,5.13133,11.3758,47.5967,0.00171539,0.00171539,0.00171539
12,1886.68,0.53846,8.86016,0.38689,0.42233,1.28311,0.60377,0.94118,0.70354,0.24072,0,0,0,0,2.82006,11.9725,9.64209,27.8576,54.5732,0.00187044,0.00187044,0.00187044
13,2039.63,0.54817,8.72879,0.38237,0.45241,1.30439,0.07246,0.14706,0.0379,0.0056,0,0,0,0,6.57675,11.8889,0.82737,2985.02,221.773,0.00196606,0.00196606,0.00196606
14,2193.84,0.50569,8.30904,0.32486,0.39256,1.27308,0.0457,0.14706,0.02313,0.00647,0,0,0,0,nan,nan,nan,nan,nan,0.00196323,0.00196323,0.00196323
15,2346.12,0.56185,8.25844,0.36568,0.4699,1.29347,0.02374,0.23529,0.01488,0.00594,0,0,0,0,nan,nan,nan,nan,nan,0.0019604,0.0019604,0.0019604
16,2498.21,0.49533,8.15372,0.42738,0.45388,1.24337,0.13876,0.26471,0.09446,0.02197,0,0,0,0,3.74043,11.8865,2.82158,16.8359,28.2218,0.00195757,0.00195757,0.00195757
17,2648.76,0.44608,7.22486,0.35345,0.42015,1.19924,0.4106,0.73529,0.45439,0.33516,0,0,0,0,1.30349,10.6941,0.75176,6.51678,2.25692,0.00195474,0.00195474,0.00195474
18,2800.84,0.44962,6.49568,0.32859,0.39067,1.22021,0.42075,0.79052,0.51696,0.18003,0,0,0,0,2.09309,10.3558,0.79916,8.98303,5.38853,0.00195191,0.00195191,0.00195191
19,2950.06,0.41938,6.30115,0.29984,0.36259,1.17851,0.62732,0.70588,0.69654,0.32635,0,0,0,0,1.86761,10.3909,0.63282,4.7923,3.97161,0.00194909,0.00194909,0.00194909
20,3104.17,0.44173,6.11605,0.303,0.39194,1.17873,0.70042,0.96283,0.90536,0.49624,0.02193,0.02941,0.00373,0.00067,1.25267,9.56094,0.50494,2.61918,2.60462,0.00194626,0.00194626,0.00194626
21,3254.5,0.41906,6.08015,0.3112,0.38018,1.19124,0.8425,0.94405,0.95786,0.72868,0.00235,0.02941,0.00125,0.00013,1.16598,9.07494,0.52283,1.61111,2.13685,0.00194343,0.00194343,0.00194343
22,3407.68,0.36031,5.98305,0.27897,0.33116,1.12912,0.71958,0.88235,0.89098,0.54326,0.08835,0.14706,0.02599,0.00399,1.20324,7.6585,0.39177,2.10317,1.89966,0.0019406,0.0019406,0.0019406
23,3560.3,0.38167,5.70869,0.29673,0.35599,1.12785,0.8596,0.97059,0.96267,0.69856,0.1675,0.20588,0.05203,0.01232,1.0094,7.00281,0.25058,1.34413,1.58913,0.00193777,0.00193777,0.00193777
24,3707.75,0.35631,5.02077,0.26365,0.3344,1.07999,0.88226,0.94118,0.97337,0.72235,0.08683,0.14706,0.03723,0.0053,0.84566,7.91987,0.2979,1.41189,1.45358,0.00193494,0.00193494,0.00193494
25,3854.02,0.31866,5.08198,0.24803,0.30563,1.07314,0.98437,1,0.995,0.91119,0.05825,0.05882,0.01018,0.00125,0.54113,7.44099,0.31893,0.67811,0.97525,0.00193211,0.00193211,0.00193211
26,4005.33,0.33271,4.83223,0.25807,0.29939,1.07367,0.94318,0.97657,0.99301,0.89565,0.21406,0.17647,0.14585,0.02297,0.60279,6.75545,0.47666,0.49419,1.13419,0.00192929,0.00192929,0.00192929
27,4153.25,0.30489,5.09505,0.25071,0.29119,1.03843,0.78553,0.96956,0.9192,0.75431,0.32024,0.29412,0.1931,0.0486,0.75786,6.05914,0.27909,0.7166,1.25413,0.00192646,0.00192646,0.00192646
