epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3608,1.24801,1.85994,0.8371,0.66445,0.49617,0.4628,0.30242,1.05723,0.92776,0.82245,0.000405983,0.000405983,0.000405983
2,43.7429,1.20545,0.75832,0.81409,0.4498,0.33372,0.17796,0.10314,1.34395,2.68017,0.84721,0.000820614,0.000820614,0.000820614
3,60.7271,1.27703,0.73261,0.81749,0.8379,0.55853,0.66337,0.40454,1.18771,1.05153,0.82835,0.00123318,0.00123318,0.00123318
4,77.6778,1.25683,0.68563,0.8174,0.77136,0.61535,0.67521,0.38977,1.16927,0.81491,0.81851,0.00124072,0.00124072,0.00124072
5,94.784,1.18079,0.6332,0.81106,0.75709,0.62388,0.65978,0.42134,1.02631,0.62518,0.81299,0.00123763,0.00123763,0.00123763
6,111.691,1.1315,0.60403,0.8062,0.85749,0.65006,0.7251,0.4497,1.00798,0.57889,0.80909,0.00123453,0.00123453,0.00123453
7,128.542,1.08494,0.56333,0.79932,0.61156,0.61515,0.61718,0.38546,1.02044,0.55793,0.80785,0.00123144,0.00123144,0.00123144
8,144.841,1.05717,0.53804,0.79885,0.75935,0.69157,0.70264,0.43558,1.01165,0.516,0.80585,0.00122834,0.00122834,0.00122834
9,161.484,1.02513,0.50816,0.79953,0.78888,0.67341,0.7265,0.47948,0.94641,0.48223,0.8004,0.00122525,0.00122525,0.00122525
10,178.33,0.99586,0.49589,0.79475,0.84088,0.74152,0.76556,0.51645,0.8543,0.44289,0.79868,0.00122216,0.00122216,0.00122216
11,195.105,1.0398,0.50866,0.79664,0.81297,0.66676,0.73179,0.4719,0.98233,0.51808,0.80668,0.00121906,0.00121906,0.00121906
12,211.892,1.02119,0.49965,0.79682,0.81236,0.69713,0.76216,0.50287,0.91083,0.46678,0.79925,0.00121597,0.00121597,0.00121597
13,228.358,1.02153,0.49875,0.79592,0.7545,0.69754,0.72549,0.47259,0.9181,0.47865,0.80125,0.00121287,0.00121287,0.00121287
14,244.774,0.98724,0.48003,0.79552,0.79785,0.6656,0.71677,0.46648,0.91665,0.45798,0.80211,0.00120978,0.00120978,0.00120978
15,261.272,0.95683,0.47746,0.79259,0.84591,0.73428,0.78696,0.49875,0.9177,0.47268,0.80276,0.00120669,0.00120669,0.00120669
16,277.718,0.93565,0.46573,0.7933,0.88543,0.71547,0.76726,0.50311,0.88632,0.43919,0.79899,0.00120359,0.00120359,0.00120359
17,294.303,0.94172,0.46632,0.7916,0.82407,0.63457,0.71566,0.4463,0.98726,0.51242,0.81079,0.0012005,0.0012005,0.0012005
18,310.758,0.94951,0.46858,0.78948,0.83908,0.66577,0.74951,0.47703,0.95286,0.48022,0.80536,0.00119741,0.00119741,0.00119741
19,327.169,0.93491,0.45925,0.79318,0.95345,0.62791,0.7502,0.49042,0.85041,0.45975,0.79943,0.00119431,0.00119431,0.00119431
